N,Time
100,0.0
200,0.0
300,0.01
400,0.01
500,0.01
600,0.02
700,0.03
800,0.02
900,0.03
1000,0.03
1100,0.04
1200,0.05
1300,0.05
1400,0.07
1500,0.08
1600,0.09
1700,0.09
1800,0.11
1900,0.12
2000,0.13
2100,0.14
2200,0.15
2300,0.17
2400,0.19
2500,0.21
2600,0.22
2700,0.25
2800,0.26
2900,0.28
3000,0.29
3100,0.31
3200,0.35
3300,0.41
3400,0.38
3500,0.4
3600,0.43
3700,0.47
3800,0.47
3900,0.52
4000,0.51
4100,0.57
4200,0.58
4300,0.6
4400,0.67
4500,0.7
4600,0.73
4700,0.76
4800,0.81
4900,0.85
5000,0.86
5100,0.9
5200,0.9
5300,0.98
5400,1.03
5500,1.1
5600,1.09
5700,1.09
5800,1.16
5900,1.15
6000,1.29
6100,1.28
6200,1.39
6300,1.32
6400,1.47
6500,1.51
6600,1.55
6700,1.64
6800,1.7
6900,1.73
7000,1.78
7100,1.72
7200,1.76
7300,2.07
7400,1.96
7500,1.91
7600,2.09
7700,1.99
7800,2.05
7900,2.21
8000,2.27
8100,2.34
8200,2.38
8300,2.53
8400,2.52
8500,2.57
8600,2.5
8700,2.69
8800,2.72
8900,2.71
9000,2.89
9100,3.03
9200,2.96
9300,3.06
9400,3.19
9500,3.25
9600,3.33
9700,3.36
9800,3.44
9900,3.34
10000,3.69
10100,3.73
10200,3.9
10300,3.87
10400,3.73
10500,4.09
10600,4.33
10700,4.34
10800,4.33
10900,4.42
11000,4.58
11100,4.59
11200,4.27
11300,4.6
11400,4.86
11500,4.94
11600,4.9
11700,5.0
11800,5.16
11900,4.87
12000,5.29
12100,5.52
12200,5.19
12300,5.54
12400,5.34
12500,5.88
12600,5.89
12700,6.04
12800,5.68
12900,5.8
13000,6.27
13100,6.35
13200,6.42
13300,6.44
13400,6.47
13500,6.8
13600,6.8
13700,6.75
13800,6.97
13900,7.14
14000,7.42
14100,7.37
14200,7.53
14300,7.89
14400,7.66
14500,7.99
14600,7.52
14700,8.1
14800,8.24
14900,8.38
15000,8.42
15100,8.59
15200,8.64
15300,8.75
15400,9.7
15500,12.09
15600,8.68
15700,9.05
15800,9.19
15900,9.27
16000,9.42
16100,9.78
16200,10.02
16300,10.09
16400,9.97
16500,9.98
16600,10.18
16700,9.99
16800,10.55
16900,13.77
17000,12.8
17100,10.76
17200,10.92
17300,10.97
17400,11.23
17500,11.35
17600,14.73
17700,14.39
17800,11.4
17900,11.63
18000,12.0
18100,12.33
18200,16.76
18300,13.07
18400,12.33
18500,12.48
18600,12.65
18700,13.04
18800,13.52
18900,16.79
19000,15.47
19100,13.38
19200,13.61
19300,20.24
19400,20.08
19500,15.53
19600,14.5
19700,14.06
19800,14.6
19900,18.35
20000,16.18
20100,14.1
20200,15.02
20300,20.15
20400,15.54
20500,15.49
20600,16.42
20700,21.3
20800,16.54
20900,15.96
21000,15.54
21100,16.7
21200,22.04
21300,19.78
21400,16.69
21500,16.44
21600,20.51
21700,21.31
21800,17.6
21900,17.79
22000,17.17
22100,25.48
22200,20.55
22300,18.51
22400,19.18
22500,21.61
22600,23.11
22700,19.06
22800,19.19
22900,23.32
23000,29.06
23100,27.56
23200,20.02
23300,25.02
23400,24.74
23500,19.65
23600,19.7
23700,29.57
23800,25.22
23900,21.41
24000,30.32
24100,21.49
24200,21.92
24300,34.74
24400,22.66
24500,28.95
24600,28.9
24700,22.34
24800,27.65
24900,24.38
